title,imdb_link
Tenet,https://www.imdb.com//title/tt6723592/
Happiest Season,https://www.imdb.com//title/tt8522006/
Hillbilly Elegy,https://www.imdb.com//title/tt6772802/
The Christmas Chronicles 2,https://www.imdb.com//title/tt11057644/
Mank,https://www.imdb.com//title/tt10618286/
Life in a Year,https://www.imdb.com//title/tt6598238/
The Christmas Chronicles,https://www.imdb.com//title/tt2990140/
Juno,https://www.imdb.com//title/tt0467406/
Home Alone,https://www.imdb.com//title/tt0099785/
Mulan,https://www.imdb.com//title/tt4566758/
Mosul,https://www.imdb.com//title/tt9252468/
Uncle Frank,https://www.imdb.com//title/tt11327514/
Freaky,https://www.imdb.com//title/tt10919380/
Jingle Jangle: A Christmas Journey,https://www.imdb.com//title/tt7736496/
Elf,https://www.imdb.com//title/tt0319343/
National Lampoon's Christmas Vacation,https://www.imdb.com//title/tt0097958/
The Call,https://www.imdb.com//title/tt10530176/
Fatman,https://www.imdb.com//title/tt10310140/
How the Grinch Stole Christmas,https://www.imdb.com//title/tt0170016/
Run,https://www.imdb.com//title/tt8633478/
Greenland,https://www.imdb.com//title/tt7737786/
Holidate,https://www.imdb.com//title/tt9866072/
Godmothered,https://www.imdb.com//title/tt11681250/
Last Christmas,https://www.imdb.com//title/tt8623904/
Don't Listen,https://www.imdb.com//title/tt11750282/
The Beast,https://www.imdb.com//title/tt11499506/
Let Him Go,https://www.imdb.com//title/tt9340860/
After We Collided,https://www.imdb.com//title/tt10362466/
Love Actually,https://www.imdb.com//title/tt0314331/
Bombshell,https://www.imdb.com//title/tt6394270/
The New Mutants,https://www.imdb.com//title/tt4682266/
Inception,https://www.imdb.com//title/tt1375666/
The Santa Clause,https://www.imdb.com//title/tt0111070/
The Grinch,https://www.imdb.com//title/tt2709692/
The Prom,https://www.imdb.com//title/tt10161886/
Superintelligence,https://www.imdb.com//title/tt7178640/
The Croods: A New Age,https://www.imdb.com//title/tt2850386/
365 Days,https://www.imdb.com//title/tt10886166/
The Gentlemen,https://www.imdb.com//title/tt8367814/
1917,https://www.imdb.com//title/tt8579674/
Wander,https://www.imdb.com//title/tt9689696/
The Trial of the Chicago 7,https://www.imdb.com//title/tt1070874/
The 2nd,https://www.imdb.com//title/tt11697484/
Knives Out,https://www.imdb.com//title/tt8946378/
Spider-Man: Into the Spider-Verse,https://www.imdb.com//title/tt4633694/
Black Bear,https://www.imdb.com//title/tt9601220/
Home Alone 2: Lost in New York,https://www.imdb.com//title/tt0104431/
Die Hard,https://www.imdb.com//title/tt0095016/
Sound of Metal,https://www.imdb.com//title/tt5363618/
The Devil All the Time,https://www.imdb.com//title/tt7395114/
Coming to America,https://www.imdb.com//title/tt0094898/
Emma.,https://www.imdb.com//title/tt9214832/
Harry Potter and the Sorcerer's Stone,https://www.imdb.com//title/tt0241527/
Once Upon a Time... In Hollywood,https://www.imdb.com//title/tt7131622/
Klaus,https://www.imdb.com//title/tt4729430/
Jojo Rabbit,https://www.imdb.com//title/tt2584384/
Black Beauty,https://www.imdb.com//title/tt8484160/
Enola Holmes,https://www.imdb.com//title/tt7846844/
The Godfather,https://www.imdb.com//title/tt0068646/
Star Wars: Episode IV - A New Hope,https://www.imdb.com//title/tt0076759/
Citizen Kane,https://www.imdb.com//title/tt0033467/
The Princess Switch: Switched Again,https://www.imdb.com//title/tt11199410/
Avengers: Endgame,https://www.imdb.com//title/tt4154796/
Unhinged,https://www.imdb.com//title/tt10059518/
Parasite,https://www.imdb.com//title/tt6751668/
A Serbian Film,https://www.imdb.com//title/tt1273235/
Peppermint,https://www.imdb.com//title/tt6850820/
Megan Is Missing,https://www.imdb.com//title/tt1087461/
Mad Max: Fury Road,https://www.imdb.com//title/tt1392190/
Ammonite,https://www.imdb.com//title/tt7983894/
The Polar Express,https://www.imdb.com//title/tt0338348/
The Witches,https://www.imdb.com//title/tt0805647/
Ava,https://www.imdb.com//title/tt8784956/
Hard Kill,https://www.imdb.com//title/tt11656172/
Joker,https://www.imdb.com//title/tt7286456/
The Santa Clause 2,https://www.imdb.com//title/tt0304669/
Interstellar,https://www.imdb.com//title/tt0816692/
Star Wars: Episode IX - The Rise of Skywalker,https://www.imdb.com//title/tt2527338/
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com//title/tt0120737/
Borat Subsequent Moviefilm,https://www.imdb.com//title/tt13143964/
The Hunt,https://www.imdb.com//title/tt8244784/
The Shawshank Redemption,https://www.imdb.com//title/tt0111161/
White Christmas,https://www.imdb.com//title/tt0047673/
The Holiday,https://www.imdb.com//title/tt0457939/
Dolittle,https://www.imdb.com//title/tt6673612/
A Clockwork Orange,https://www.imdb.com//title/tt0066921/
Underwater,https://www.imdb.com//title/tt5774060/
Noelle,https://www.imdb.com//title/tt5097410/
The Nightmare Before Christmas,https://www.imdb.com//title/tt0107688/
Operation Christmas Drop,https://www.imdb.com//title/tt13236566/
The Wolf of Wall Street,https://www.imdb.com//title/tt0993846/
A Christmas Story,https://www.imdb.com//title/tt0085334/
Scrooged,https://www.imdb.com//title/tt0096061/
Rebecca,https://www.imdb.com//title/tt2235695/
Rust Creek,https://www.imdb.com//title/tt6610158/
Ludo,https://www.imdb.com//title/tt7212754/
It's a Wonderful Life,https://www.imdb.com//title/tt0038650/
Titanic,https://www.imdb.com//title/tt0120338/
Possessor,https://www.imdb.com//title/tt5918982/
The Witch,https://www.imdb.com//title/tt4263482/
Midsommar,https://www.imdb.com//title/tt8772262/
The Dark Knight,https://www.imdb.com//title/tt0468569/
Ghosts of War,https://www.imdb.com//title/tt6508228/
Mad Max,https://www.imdb.com//title/tt0079501/
Deadpool 2,https://www.imdb.com//title/tt5463162/
